    CODIGO DESCUENTO    PRECIO     STOCK
    412041       791      1492      1594                         TORTILLAS DE MAIZ 1KG
    872819       791        13       818      GELATINA DE LECHE VAINILLA DANETTE 100GR
    406688       116       562      2003                     CHURROMAIS CON LIMON 38GR
    365906       984      2664      2257                 AGUACATE REGIONAL KG.1.000 GR
    308982       984        28      4279           YOGHURT P BEBER FRUGGIS FRESA 150GR
    901816      1197      5049      1118               JUGO VALLE FRUT CITRUS 12 250ML
    397718      1197       698       310              LECHE LALA SEMI DESLACTOSADA 1LT
    204890      1197       931      1066                  LECHE YAQUI DESLACTOSADA 1LT
    748899      1197        23      2364                           NARANJA SIN SEMILLA
    459032      1197        38      2403                     GELATINA DANY LIMON 125GR
    690039      1432      1078      1148                      CORAZONES DE OREJONA PZA
    536472      1432        66      2037                SABRITAS CASERAS JALAPENO 42GR
    434681      1432        92      1178                  ELOTE DORADO DEL MONTE 225GR
    662083      1432        65       615                        TAKIS SALSA BRAVA 62GR
    997564      1183      1650      1110                             MANGO ECUATORIANO
    285807      1183        82       545      YOGHURT BIOBALANCE NUEZ Y FRU.SECOS 250G
    675770       202      4549      1076                        JARABE DE MAMEY 1.25KG
    390920        93       563      1572                            AGUA NIAGARA 500ML
    714788        93        53      1094            PAPA EN CUBOS DEL FUERTE 12 380GR.
    374253       791       381      1826                  TE DE MANZANILLA NEBO 24 1GR
    582920       701       440       691                       PINGUINOS MARINELA 40GR
    793026       470      2585      3030                YOGHURT NATURAL LIGHT LALA 1KG
    935218       470       982         0                            FRIJOL AMARILLO KG
    182942       370      2839       692                                        ZAPOTE
    317404       512      1089      2405        LICUADO LALA CIRUELA PASA Y NUEZ 240GR
    696000       135      4079      1869                        MEDIA CREMA NESTLE 1LT
    430669       135       512        55      AJO GRANULADO DE CALIFORNIA KIRKLAND 51.
    565169       241       314      2785                         PASTILLA PEPTO BISMOL
    118050       241        98      2328                                        PAPAYA
    485302       762       667      2335                      YOGHURT LALA FRESA 240GR
    580927       762       907       654      TORTILLAS DE HARINA DEL HOGAR 22P. 840GR
    422763       241       385      1478              GALLETAS SUAVICREMAS FRESA 158GR
    151641       135        86      1043           YOGHURT P BEBER LACTIGURT COCO 250G
    620036       701       329      1351                   SABRITAS ORIGINAL SAL 490GR
    947176       701       492      1536            SALSA DE CHILE HABANERO ROJO 260GR
    415932      1052       767      2228                    SOPA MARUCHAN CAMARON 71GR
    900698      1341      1926      1121                         VAINILLA MOLINA 500ML
    785062      1465      1735       708               CORAZON DE ALCACHOFA SAN MIGUEL
    856894      1465       607      3087                             HARINA MAZATL 5KG
    941699      1465       327      2142                      MAIZ POZOLERO EXTRA 1KGR
    923804       511       525      1828                   SAL BAJA PACIFIC BOLSA 1KGR
    992564       791        79       825                                LECHUGA ROMANA
    330512       528       704       686                      YOGHURT LALA LIGHT 240GR
    178943       528        17      1338       YOGHURT P BEBER DURAZNO LIGHT YOP 250GR
    882099       512       350      1558                       NESQUIK CHOCOLATE 200GR
    455703       512        88      1218              PALOMITAS POFETS FLAMIN HOT 28GR
    874503       868       953       469            GALLETAS LORS SNACKS MARINELA 75GR
    979865       868        10      2208                 GALLETAS MARIAS CUETARA 160GR
    423073       566     35022      1050              POLVO PARA HORNEAR REXAL 15KILOS
    126218       566        57      1876                                     TANJERINA
    961802       676      4553      1376                          ACHIOTE LA EXTRA 1KG
    778066       762       852      1056             CHILES CHIPOTLES LA COSTENA 380GR
    179485       470       511      1143               MOLE SURTIDO CON ESPECIAS 250GR
    511824       470        88      1417                FLAN LALA SABOR VAINILLA 100GR
    170844       470       650      1206       EMPANIZADOR CONTADINA TRADICIONAL 283GR
    748008       318       823      1372             SANDWICH COMBINADA 3 FLORES 150GR
    826317       762        57        89                             CHAMYTO BIG 114ML
    651034       762       411      1471            MANGO EN REBANADAS LA MORENA 800GR
    311343      1273      2326      1651                      YOGHURT FRESA NESTLE 1KG
    365379       202        71         0        YOGHURT FRESA CON GRANOLA CHELSY 240GR
    283781       191      1327       918               FRIJOLES REFRITOS ISADORA 430GR

       DNI     FECHA  CANTIDAD    CODIGO
  71378466  20201026       178    412041
  32821689  20200419       554    872819
  33713901  20200419        52    406688
  33397650  20190817      1130    365906
  79140840  20210415      1000    308982
  33713901  20210902       511    901816
  46462527  20191018        17    397718
  48184351  20220202       120    204890
  46462527  20190726      1144    748899
  33397650  20201213       505    459032
  45783712  20190105       842    690039
  33713901  20191203       550    536472
  46462527  20200714       393    434681
  57263719  20220101       517    662083
  71984468  20191006       112    997564
  33397650  20190101       404    285807
  17913944  20191020       492    675770
  79475585  20200514       379    390920
  62566305  20201123       690    714788
  76388967  20200509      1150    997564
  45783712  20190701       341    412041
  33397650  20201007       864    374253
  17913944  20211129       575    582920
  79475585  20200907       688    793026
  76388967  20190421       224    935218
  81114108  20201006       281    182942
  79140840  20210520       277    317404
  17913944  20191228       135    696000
  79140840  20190518       982    430669
  81114108  20200605       490    565169
  79475585  20191216       780    118050
  48184351  20190725       147    485302
  29847168  20210101       379    580927
  48184351  20220329       645    565169
  17913944  20190923       195    422763
  45783712  20201002       790    696000
  91897732  20200720       644    151641
  46462527  20200816         0    582920
  57263719  20200519       375    620036
  33397650  20190201       559    947176
  17913944  20200813        68    415932
  33397650  20190605       690    415932
  46462527  20191009       546    900698
  33713901  20200805       395    785062
  48184351  20190602       545    856894
  33397650  20190729       347    941699
  29847168  20210802       449    422763
  48184351  20201231      1158    536472
  71378466  20200319       737    923804
  32821689  20200428       360    422763
  32821689  20211019       860    406688
  33397650  20190628       900    412041
  32821689  20201010       181    992564
  83236386  20190815      1053    923804
  46462527  20191012       194    182942
  46462527  20211227       243    901816
  17913944  20201015       745    856894
  81114108  20190710       156    662083
  46462527  20211003       101    330512
  33397650  20211226       859    178943
  76388967  20201129       318    536472
  48184351  20210929       516    317404
  62566305  20210227       165    882099
  81114108  20220124      1159    455703
  71984468  20190807        84    874503
  45783712  20190927       969    979865
  91897732  20211109      1151    423073
  57263719  20200925       146    856894
  33713901  20200126      1111    126218
  29847168  20200304      1134    308982
  29847168  20200626       116    961802
  46462527  20210316       187    178943
  91897732  20210309       165    947176
  79475585  20210124       853    748899
  91897732  20211004      1171    961802
  81114108  20220205       613    941699
  17913944  20210422       762    390920
  71378466  20210117       801    485302
  32821689  20210101       123    882099
  57263719  20211122       903    778066
  29847168  20210423       750    620036
  91897732  20210705       936    485302
  79140840  20210528       237    455703
  76388967  20190203       638    947176
  17913944  20201129       901    434681
  57263719  20220106       491    793026
  33397650  20210115      1071    179485
  79140840  20210717       260    126218
  81114108  20201105       329    992564
  48184351  20200531       436    511824
  17913944  20210205       345    422763
  45783712  20200706       922    170844
  83236386  20190803       936    406688
  81114108  20200309      1142    118050
  81114108  20200921       692    308982
  79140840  20220221       767    748008
  46462527  20210606      1110    317404
  71378466  20210104       483    485302
  46462527  20210529       446    826317
  71984468  20220211       813    651034
  81114108  20210713       674    793026
  62566305  20200730      1093    311343
  29847168  20191230       115    935218
  46462527  20200312       458    390920
  79475585  20200718       532    565169
  62566305  20220123      1186    882099
  76388967  20190105       529    374253
  33713901  20190506      1125    415932
  46462527  20190527       106    178943
  71984468  20211128       599    126218
  83236386  20200911       218    675770
  83236386  20190713       391    365379
  83236386  20211020       108    872819
  71984468  20210305       666    283781
  79475585  20200430       507    118050
  83236386  20200806       377    311343
  81114108  20190519       491    900698
  71984468  20201126       641    330512
  33713901  20190319       720    511824
  79140840  20190529       755    459032
  33397650  20210324       433    374253
  32821689  20200210       420    151641
  91897732  20211217       901    365906
  71378466  20211219        56    330512
  17913944  20210704        30    415932
  48184351  20190418       262    748008
  33713901  20191202       838    696000
  57263719  20200727       935    941699
  48184351  20200417      1167    856894
  57263719  20211010      1102    565169
  29847168  20211102       944    979865
  33397650  20211111       283    651034
  71378466  20200529       989    459032
  32821689  20210701      1032    793026
  46462527  20210823       634    308982
  17913944  20210322       212    317404
  91897732  20190313       629    204890
  71378466  20190424       335    308982
